C2 	15.31
CH 	10.65
CN 	13.82
CO 	14.13
H2 	16.45
HS 	11.89
N2 	15.66
NH 	11.68
NO 	9.73
NS 	8.95
O2 	11.35
OH 	15.60
PH 	9.05
PO 	8.48
S2 	8.83
SO 	9.56
C3 	11.95
CCO 	10.60
CH2 	10.65
CNO 	12.77
CO2 	13.95
H2O 	12.80
H2S 	10.52
HCN 	14.08
HCO 	9.33
HNC 	12.18
HNO 	10.61
HPO 	10.53
N2O 	13.05
NH2 	12.53
NO2 	8.37
O2H 	11.96
O3 	13.02
OCN 	13.35
OCS 	11.39
PH2 	9.83
SO2 	12.58
C2H2 	11.54
C2N2 	14.74
C3N 	14.35
CH3 	9.81
H2CN 	10.63
H2CO 	11.04
H2CS 	9.50
HC2N 	10.79
HC2O 	11.05
HCNS 	9.20
HNCS 	10.15
HOCO 	9.77
HOOH 	11.13
HSCN 	11.07
HSSH 	10.21
NCSH 	11.07
NH3 	11.04
NO3 	12.70
SO3 	13.02
