#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   794.34488	   560.08987	         ***	     ***
    2	   436.04355	   309.37811	         ***	     ***
    3	   435.70164	   306.90035	         ***	     ***
    4	   435.91743	   306.58367	         ***	     ***
    5	    72.50022	    38.44133	         ***	     ***
    6	    48.58857	    29.21121	         ***	     ***
    7	    47.24272	    25.11793	         ***	     ***
    8	    36.63515	    20.79543	    18.83400	   0.857
    9	    37.55405	    19.56431	    17.67200	   0.858
   10	    62.32341	    18.14591	    16.02700	   0.865
   11	    42.53428	    15.32083	    14.68500	   0.855
   12	    60.85040	    12.71038	    10.80900	   0.873
   13	    30.45302	    11.76468	    11.90300	   0.897
   14	    34.12928	    11.58285	    11.80000	   0.894
