#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  3297.43116	  2504.48919	         ***	     ***
    2	   602.12365	   424.40603	         ***	     ***
    3	   435.74812	   307.84467	         ***	     ***
    4	   509.07290	   245.96263	         ***	     ***
    5	   477.93943	   182.87009	         ***	     ***
    6	   478.52205	   182.83652	         ***	     ***
    7	   479.35782	   182.80272	         ***	     ***
    8	    59.45253	    33.54500	         ***	     ***
    9	    57.72311	    29.18590	         ***	     ***
   10	    47.47873	    19.53954	    18.15700	   0.871
   11	    47.38808	    16.33100	    15.17200	   0.876
   12	    52.49332	    15.36050	    13.69500	   0.869
   13	    37.39653	    14.61494	    14.06300	   0.870
   14	    39.74944	    12.84222	    12.86800	   0.885
   15	    47.36966	    11.11370	    10.96600	   0.901
