Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	793.85195	563.08614	***		***		***
2	601.39036	425.87888	***		***		***
3	435.98774	310.65476	***		***		***
4	78.02846	42.07688	***		***		***
5	59.63016	35.03724	***		***		***
6	72.90758	21.99752	***		***		***
7	53.35024	19.85071	19.85100	17.62200	0.830
8	52.05906	19.07317	19.07300	17.15500	0.836
9	56.57666	17.56955	17.57000	15.68400	0.870
10	51.93203	14.97413	14.97400	13.55700	0.882
11	50.13257	13.34272	13.34300	12.55800	0.888
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.77390	562.61040	***		***		***
2	602.85463	425.17312	***		***		***
3	435.67470	310.88263	***		***		***
4	75.08819	41.06381	***		***		***
5	58.47618	32.44433	***		***		***
6	72.29742	21.38850	***		***		***
7	50.43184	18.95844	18.95800	17.18200	0.844
8	43.98209	16.62107	16.62100	16.75900	0.891
9	54.93854	16.36993	16.37000	14.64500	0.880
10	48.47632	12.19617	12.19600	11.87700	0.901
