Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.81179	306.18293	***		***		***
2	435.92276	306.06575	***		***		***
3	435.68349	305.78874	***		***		***
4	435.86091	305.61309	***		***		***
5	435.98878	305.46637	***		***		***
6	40.80761	30.08230	***		***		***
7	44.07513	27.88411	***		***		***
8	41.55571	25.80219	***		***		***
9	38.00051	21.84473	***		***		***
10	31.83925	19.73802	19.73800	17.70600	0.843
11	33.95902	18.33280	18.33300	16.52400	0.856
12	31.97776	16.64267	16.64300	15.18000	0.872
13	25.35445	15.84119	15.84100	14.76400	0.887
14	34.62230	14.96019	14.96000	13.73300	0.885
15	31.67952	14.15185	14.15200	12.97800	0.885
16	26.93707	12.37996	12.38000	11.93400	0.867
17	29.94744	10.57255	10.57300	10.52800	0.883
18	29.98044	8.98068		8.98100		9.20900		0.894
