Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.26471	305.65924	***		***		***
2	435.86496	305.44174	***		***		***
3	435.83955	305.26707	***		***		***
4	435.90695	305.20247	***		***		***
5	39.08586	29.73723	***		***		***
6	39.29477	27.25541	***		***		***
7	36.86996	23.45246	***		***		***
8	32.64972	20.30974	20.31000	18.26500	0.850
9	26.42710	17.70961	17.71000	16.12500	0.865
10	30.96824	16.67612	16.67600	15.29100	0.887
11	27.98471	15.83335	15.83300	14.61100	0.890
12	31.92135	15.07312	15.07300	13.96000	0.896
13	29.56427	14.50699	14.50700	13.51400	0.901
14	32.77217	13.30291	13.30300	12.30400	0.900
15	27.98348	10.08413	10.08400	10.09300	0.903
16	34.74246	9.36776		9.36800		8.15700		0.904
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.69614	305.59889	***		***		***
2	435.81846	305.28928	***		***		***
3	435.93669	305.14865	***		***		***
4	436.49123	304.99324	***		***		***
5	39.89461	29.07371	***		***		***
6	37.60527	26.82332	***		***		***
7	36.84648	22.67685	***		***		***
8	32.33066	19.68597	19.68600	17.89100	0.864
9	26.34190	17.37099	17.37100	15.88200	0.868
10	31.08917	16.35263	16.35300	15.09600	0.891
11	30.79338	15.26545	15.26500	14.16800	0.894
12	28.89787	14.78408	14.78400	13.85900	0.904
13	29.71742	14.30611	14.30600	13.33900	0.902
14	32.97157	13.09110	13.09100	12.10100	0.900
15	28.44202	10.02394	10.02400	10.03700	0.904
