#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.52320	   425.81428	         ***	     ***
    2	   436.41975	   308.32041	         ***	     ***
    3	   435.78254	   307.99055	         ***	     ***
    4	   435.88058	   306.73962	         ***	     ***
    5	    59.32605	    36.02339	         ***	     ***
    6	    51.80520	    29.39600	         ***	     ***
    7	    52.11949	    25.79767	         ***	     ***
    8	    34.70388	    20.16758	    18.37900	   0.863
    9	    36.85260	    16.38302	    15.49200	   0.862
   10	    36.85260	    16.38302	    15.49200	   0.862
   11	    41.14538	    14.05917	    12.33000	   0.845
   12	    33.12804	    11.10020	    11.41700	   0.898
   13	    33.12804	    11.10020	    11.41700	   0.898
